ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
300638.SZ,20240113,20231231,预增,48.16,64.63,54000.0,60000.0,预计:净利润54000-60000,"公司紧密围绕战略目标与核心价值观，持续深耕物联网行业，内生+外延双向驱动，锐凌无线并表及公司在车载、FWA等行业发展良好；坚持以客户为导向，加大研发投入，获得客户认可，在报告期内营业收入和净利润实现持续增长。预计2023年度非经常性损益对公司净利润的影响金额约为3,000万元。"
300638.SZ,20240113,20231231,预增,48.16,64.63,54000.0,60000.0,预计:净利润54000-60000,"公司紧密围绕战略目标与核心价值观，持续深耕物联网行业，内生+外延双向驱动，锐凌无线并表及公司在车载、FWA等行业发展良好；坚持以客户为导向，加大研发投入，获得客户认可，在报告期内营业收入和净利润实现持续增长。预计2023年度非经常性损益对公司净利润的影响金额约为3,000万元。"
300638.SZ,20210125,20201231,预增,60.0,80.0,27212.0,30613.0,预计净利润27212-30613万,"公司一方面持续加大研发投入,丰富产品线,另一方面加大市场投入,积极拓展市场空间,报告期内营业收入和净利润实现持续增长."
300638.SZ,20200410,20200331,略增,20.0,45.0,4614.0,5575.0,预计净利润4614-5575万,"1,报告期内,公司经营业绩较去年同期同比上升.公司积极应对新冠病毒疫情的不利影响,及时复工复产,收入较去年同期实现增长.2,2019年11月公司非公开发行股份募集资金到账,报告期内公司产生的理财投资收益以及利息收入约为650万元."
300638.SZ,20200118,20191231,预增,90.0,110.0,16491.0,18227.0,预计净利润16491-18227万,"物联网行业发展态势较好，公司抓住市场机遇，积极拓展市场空间，报告期内营业收入和净利润实现快速增长。预计2019年度非经常性损益对公司净利润的影响金额约1,324万元左右。"
300638.SZ,20191015,20190930,预增,100.78,125.02,11600.0,13000.0,预计净利润11600-13000万,"物联网行业发展态势较好，公司抓住市场机遇，市场拓展良好,2019年1-9月收入较去年同期实现30%以上的增长。另一方面，公司毛利率有所改善，净利润较去年同期实现100%以上的增长。"
300638.SZ,20190713,20190630,预增,242.71,269.77,7600.0,8200.0,预计净利润7600-8200万,"物联网行业发展态势良好，公司紧紧围绕大客户战略，市场拓展良好,整体收入实现快速增长。由于收入增长较快，以及当期确认的政府补助收益增多，净利润实现较快增长。预计2019年半年度非经常性损益对公司净利润的影响金额约为900万元。"
300638.SZ,20190308,20190331,预增,424.6,454.57,3500.0,3700.0,预计净利润3500-3700万,物联网行业发展态势良好，公司抓住市场机会，发货同期增长70%以上，但由于去年净利润基数较小，同比净利润增长明显。预计2019年第一季度非经常性损益对公司净利润的影响金额约为516.77万元。
300638.SZ,20190116,20181231,预增,82.41,105.21,8000.0,9000.0,预计净利润8000-9000万,"物联网行业发展态势良好，公司紧紧围绕大客户战略，在智能模块推广应用和海外市场拓展方面,取得良好的效果,收入实现100%以上的增长,但由于市场竞争加剧，毛利率有所下滑，以及公司持续的研发及营销投入,致使公司净利的增长速度略低于收入增长幅度。预计2018年度非经常性损益对公司净利润的影响金额约为808.22万元。"
300638.SZ,20181015,20180930,预增,111.62,131.52,5318.0,5818.0,预计净利润5318-5818万,物联网行业发展态势较好，公司抓住市场机遇，收入和利润均实现较大幅度的增长。2018年1-9月，收入同比去年实现170%以上的增长，净利润同比去年实现110%以上的增长。由于竞争加剧导致毛利率略有下滑，同时持续的研发高投入，盈利增速略低于收入增速。预计2018年前三季度非经常性损益对公司净利润的影响金额约为223.16万元。
300638.SZ,20180713,20180630,预增,40.0,60.0,1978.0,2261.0,预计净利润1978-2261万,"物联网行业发展态势良好，公司紧紧围绕大客户战略，在智能模块推广应用和海外市场拓展方面,取得良好的效果,收入实现200%以上的增长,但由于市场竞争激烈带来整体毛利率下滑以及公司持续的研发及营销投入,致使公司净利的增长较缓。预计2018年半年度非经常性损益对公司净利润的影响金额约为-22.49万元。"
300638.SZ,20180409,20180331,略增,0.0,10.0,607.0,667.0,预计净利润607-667万,"物联网行业发展态势良好，公司在今年一季度收入增长较快,但同时为了把握市场机会，研发与市场端加大投入，当期净利增长缓慢。预计2018年第一季度非经常性损益对公司净利润的影响金额约为25.76万元。."
300638.SZ,20180130,20171231,略增,0.0,10.0,4032.0,4435.0,预计净利润4032-4435万,"物联网行业发展态势良好，公司紧紧围绕大客户战略，在智能模块推广应用和海外市场拓展方面,取得良好的效果,收入实现60%以上的增长,但由于公司持续的研发及营销投入,致使公司净利的增长较缓。预计 2017 年度非经常性损益对公司净利润的影响金额约为 154.21 万元。"
300638.SZ,20171013,20170930,略增,25.0,35.0,2397.0,2589.0,预计净利润2397-2589万,"物联网行业发展态势良好，公司紧紧围绕大客户战略，在智能模块推广应用和海外市场拓展方面,均取得较好的成效，销售增长带来的净利增多。"
300638.SZ,20170713,20170630,略增,10.0,20.0,1326.0,1446.0,预计净利润1326-1446万,物联网行业发展态势良好，公司紧紧围绕大客户战略，积极开拓市场，销售增长带来的净利增多。预计2017年半年度非经常性损益对公司净利润的影响金额约为19.22万元。
