ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
300590.SZ,20260130,20251231,预减,-58.0,-48.0,6662.0,8248.0,预计:净利润6662-8248,2025年上半年，受美国关税政策调整及地缘政治冲突等因素影响，全球贸易环境承压，公司营业收入同比有所下降。面对复杂的外部形势，公司迅速调整发展战略、优化经营策略、推进经营改善，2025年三季度、年度营收降幅持续收窄，公司综合毛利率维持在40%左右。公司2025年度净利润较上年同期相比变动的主要原因：1、各项费用同比有所增加。一方面，公司研发立项数量提升，研发人员投入、产品认证等相关研发费用增加；另一方面，公司加大区域市场的开发力度，市场推广、渠道建设等营销费用投入增加。2、多项因素对净利润形成阶段性影响。报告期内，公司计提存货减值准备、政府补贴同比下降、部分订单延期发货，上述因素共同对净利润造成一定影响。公司践行“新业务、新产品、新应用场景、新客户”的四新发展策略，以核心技术为驱动，持续推进产品线迭代升级与产品品类拓展，不断突破业务边界、拓宽发展空间，稳步推进全球市场布局与业务拓展。
300590.SZ,20251015,20250930,预减,-55.0,-50.0,6027.0,6697.0,预计:净利润6027-6697,1、2025年，全球经济持续震荡。美国关税及地缘政治冲突对全球贸易的影响仍然存在，同时叠加新产品替代升级、客户需求波动等多方因素的影响，公司2025年上半年度的营业收入同比有所下降，随着公司“新产品、新技术、新客户、新应用场景”的落地，以及海外产能的逐步释放，公司业绩呈现恢复态势，第三季度营业收入同比上升。2、报告期内，公司各项费用同比增加。一是新项目开发推进，使得研发投入、产品认证等费用相应增长；二是营销、研发等人工成本增加；三是销售拓展增长导致费用增加。3、公司通过持续推进国产替代、生产工艺优化及技术迭代升级等多项措施，有效优化成本结构，提升运营效率。报告期内，公司整体毛利率保持在40%以上的较高水平。4、两轮车“新国标”已于9月1日起正式实施，9月至11月为销售过渡期，2025年12月1日之后，所有销售的电动自行车产品均必须符合新标准规定。公司符合“新国标”的两轮车产品已于第四季度开始出货。视频车联网、工业路由器、动物溯源产品的销售情况较上年同期均有所增长，新兴领域拓展顺利。5、公司旗下专注于前沿产业投资的子公司孵化的AI潮玩，植入自研AI智能体核心引擎，产品预计支持4G、wifi、BLE、星闪SLE等多通信制式，并提供主动式交互，争取尽快开展小批量出货的测试认证工作。6、报告期内，预计非经常性损益对公司净利润的影响金额约900万元。
300590.SZ,20250715,20250630,预减,-70.0,-60.0,2961.0,3948.0,预计:净利润2961-3948,"2025年上半年全球经济增长普遍放缓，叠加美国关税冲击和地缘冲突，对全球贸易产生了诸多负面影响。报告期内，公司实现营业收入近3.6亿元，同比下降近25%，营业收入减少导致毛利额减少5,000多万元。贸易摩擦、新产品升级替代、大客户季节性、周期性需求波动等多重因素叠加是导致公司收入下滑的主要原因。2025年上半年综合毛利率41%左右，近几年毛利率较为稳定。报告期内，公司各项费用同比增加了近2,000万元，主要源于几方面因素：一是新项目开发推进，使得研发投入、产品认证等费用相应增长；二是营销、研发等人工成本增加；三是受汇率波动折算的汇兑损益变化，财务费用有所增加；四是销售拓展增长导致费用增加。公司报告期内成立了全资子公司专注于前沿产业的投资，已在孵化AI潮玩相关技术和产品，后续公司会通过多种方式开展新技术、新产品、新应用场景、新客户的孵化和培育工作，重点围绕人工智能等战略新兴领域，为公司储备具有前瞻性的核心技术，为公司业务发展提供动能。报告期内，预计非经常性损益对公司净利润的影响金额近600万元。"
300590.SZ,20250715,20250630,预减,-70.0,-60.0,2961.0,3948.0,预计:净利润2961-3948,"2025年上半年全球经济增长普遍放缓，叠加美国关税冲击和地缘冲突，对全球贸易产生了诸多负面影响。报告期内，公司实现营业收入近3.6亿元，同比下降近25%，营业收入减少导致毛利额减少5,000多万元。贸易摩擦、新产品升级替代、大客户季节性、周期性需求波动等多重因素叠加是导致公司收入下滑的主要原因。2025年上半年综合毛利率41%左右，近几年毛利率较为稳定。报告期内，公司各项费用同比增加了近2,000万元，主要源于几方面因素：一是新项目开发推进，使得研发投入、产品认证等费用相应增长；二是营销、研发等人工成本增加；三是受汇率波动折算的汇兑损益变化，财务费用有所增加；四是销售拓展增长导致费用增加。公司报告期内成立了全资子公司专注于前沿产业的投资，已在孵化AI潮玩相关技术和产品，后续公司会通过多种方式开展新技术、新产品、新应用场景、新客户的孵化和培育工作，重点围绕人工智能等战略新兴领域，为公司储备具有前瞻性的核心技术，为公司业务发展提供动能。报告期内，预计非经常性损益对公司净利润的影响金额近600万元。"
300590.SZ,20250415,20250331,预减,-75.0,-65.0,886.0,1240.0,预计:净利润886-1240,"1、2025年一季度，公司实现营业收入大约15,680.50万元,同比下降近26%，营业收入减少导致毛利额减少1,883.72万元。今年年初开始，中美贸易摩擦不断升级，公司海外产能释放的过程中，导致订单交付进度受到影响。新一代技术的不断发展，客户对新产品的需求提升，且部分国家在做网络机制的切换，公司在报告期内，加大对新产品的开发力度，部分新老产品的交替阶段，会阶段性的造成营业收入波动。2、报告期内，公司加强市场拓展及研发立项数量增多，导致公司销售费用、管理费用、研发费用同比增加了729.72万元。3、报告期内，预计非经常性损益对公司净利润的影响金额约为300万元，与去年同期相比增加了164万元。"
300590.SZ,20240715,20240630,预增,58.0,68.0,9794.0,10413.0,预计:净利润9794-10413,1、报告期内，虽然部分在手订单交付有所延后，但公司业绩仍同比实现较好的增长，主要原因是车载信息智能终端产品、资产和冷链管理信息智能终端继续发力，营收和毛利率均有所提升，同时，受益于新兴业务板块，如动物溯源管理产品、工业无线路由器等产品业绩逐步放量，在多重因素叠加影响下，共同推动了公司全球化业务纵深发展。作为一家注重研发的全球化布局公司，公司的研发投入一直保持较高的比例，公司2024年半年度综合毛利率同比去年进一步提升，2024年第二季度综合毛利率约44%左右，与研发投入形成可持续的良性优化循环。同时，相较去年同期，公司因套期保值业务受美元汇率波动产生的影响相对降低，外汇变动风险可控，整体汇率对公司产生了一定的正面效应。公司业务主要面向海外市场，未来，随着全球市场的逐步复苏，公司将持续加强产品线布局和市场拓展，研发、销售双强化。研发端，优化公司内部研发体系机制及人员建设，销售端，扩大销售布局力度，如印度等亚太市场，结合政府出台相关的政策支持及行业渗透率不断提升等积极因素，为公司业绩的提升做好扎实的保障支持。2、报告期内，预计非经常性损益对公司净利润的影响金额约500万元左右。
300590.SZ,20240715,20240630,预增,58.0,68.0,9794.0,10413.0,预计:净利润9794-10413,1、报告期内，虽然部分在手订单交付有所延后，但公司业绩仍同比实现较好的增长，主要原因是车载信息智能终端产品、资产和冷链管理信息智能终端继续发力，营收和毛利率均有所提升，同时，受益于新兴业务板块，如动物溯源管理产品、工业无线路由器等产品业绩逐步放量，在多重因素叠加影响下，共同推动了公司全球化业务纵深发展。作为一家注重研发的全球化布局公司，公司的研发投入一直保持较高的比例，公司2024年半年度综合毛利率同比去年进一步提升，2024年第二季度综合毛利率约44%左右，与研发投入形成可持续的良性优化循环。同时，相较去年同期，公司因套期保值业务受美元汇率波动产生的影响相对降低，外汇变动风险可控，整体汇率对公司产生了一定的正面效应。公司业务主要面向海外市场，未来，随着全球市场的逐步复苏，公司将持续加强产品线布局和市场拓展，研发、销售双强化。研发端，优化公司内部研发体系机制及人员建设，销售端，扩大销售布局力度，如印度等亚太市场，结合政府出台相关的政策支持及行业渗透率不断提升等积极因素，为公司业绩的提升做好扎实的保障支持。2、报告期内，预计非经常性损益对公司净利润的影响金额约500万元左右。
300590.SZ,20240408,20240331,预增,80.0,90.0,3484.0,3678.0,预计:净利润3484-3678,1、报告期内，公司业绩同比实现增长的主要原因是普通车载产品继续发力，该业务板块的毛利率较高，同时公司的资产管理类产品、动物追踪溯源产品、工业路由器等产品毛利率均有所提升，从而带动公司业绩的增长。同时，也是公司不断提升全球研发和销售能力，增强客户黏性，拓展新客户的体现。同时，为了锁定产品的毛利率水平，公司根据当期的以美元结算的应收账款余额及其信用周期（通常为6个月左右），进行了远期锁汇。美元汇率大幅波动及理财等因素，对公司本期财务费用、投资收益、公允价值变动收益等均有所影响。2、报告期内，预计非经常性损益对公司净利润的影响金额约为136万元，与去年同期相比减少237万元。
300590.SZ,20240408,20240331,预增,80.0,90.0,3484.0,3678.0,预计:净利润3484-3678,1、报告期内，公司业绩同比实现增长的主要原因是普通车载产品继续发力，该业务板块的毛利率较高，同时公司的资产管理类产品、动物追踪溯源产品、工业路由器等产品毛利率均有所提升，从而带动公司业绩的增长。同时，也是公司不断提升全球研发和销售能力，增强客户黏性，拓展新客户的体现。同时，为了锁定产品的毛利率水平，公司根据当期的以美元结算的应收账款余额及其信用周期（通常为6个月左右），进行了远期锁汇。美元汇率大幅波动及理财等因素，对公司本期财务费用、投资收益、公允价值变动收益等均有所影响。2、报告期内，预计非经常性损益对公司净利润的影响金额约为136万元，与去年同期相比减少237万元。
300590.SZ,20220127,20211231,预增,71.33,102.28,15500.0,18300.0,预计:净利润15500-18300,1、报告期内，公司持续响应“以国内大循环为主体、国内国际双循环相互促进的新发展格局”的经济战略号召，积极进行市场扩张和应用领域延伸，覆盖了包括车联网、资产追踪和安全、智慧工业、智慧牧场、两轮车、共享出行等多种应用场景。2021年度，公司研发费用同比增长近50%，同时共享出行产品订单规模实现爆发，普通车载系列产品市场进一步开拓，公司销售总收入同比增长约95%，实现销售总收入超9亿元人民币。2、报告期内，由于美元汇率波动，汇兑损失金额650万元左右。同时，由于公司产品大量销往海外，多以外币结算，在人民币升值的情况下，对公司销售收入和毛利率存在一定影响。3、报告期内，受疫情等因素影响，公司采购的部分核心零部件紧缺，引发涨价等变化，对公司毛利率存在一定影响。
