LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,名称,公告标题,公告类型,公告日期,网址
广和通,300638,300638,广和通,广和通:关于重大资产重组进展的公告,重组进展公告,2026-05-22,https://data.eastmoney.com/notices/detail/300638/AN202605221822683169.html
广和通,300638,300638,广和通,广和通:广东信达律师事务所关于深圳市广和通无线股份有限公司2025年度股东会法律意见书,法律意见书,2026-05-18,https://data.eastmoney.com/notices/detail/300638/AN202605181822408543.html
广和通,300638,300638,广和通,广和通:关于回购注销部分限制性股票减少注册资本通知债权人的公告,公司注册资本变更,2026-05-18,https://data.eastmoney.com/notices/detail/300638/AN202605181822408544.html
广和通,300638,300638,广和通,广和通:2025年度股东会决议公告,分配方案决议公告,2026-05-18,https://data.eastmoney.com/notices/detail/300638/AN202605181822408481.html
广和通,300638,300638,广和通,广和通:H股公告-截至2026年4月30日止月份之股份发行人的证券变动月报表,其他,2026-05-07,https://data.eastmoney.com/notices/detail/300638/AN202605071822034080.html
广和通,300638,300638,广和通,广和通:第四届董事会第二十三次会议决议公告,董事会决议公告,2026-04-24,https://data.eastmoney.com/notices/detail/300638/AN202604231821507254.html
广和通,300638,300638,广和通,广和通:H股公告-将H股全球发售部分闲置募集资金用于暂时补充流动资金,其他,2026-04-24,https://data.eastmoney.com/notices/detail/300638/AN202604231821507261.html
广和通,300638,300638,广和通,广和通:关于重大资产重组进展的公告,重组进展公告,2026-04-24,https://data.eastmoney.com/notices/detail/300638/AN202604231821507202.html
广和通,300638,300638,广和通,广和通:2026年一季度报告,一季度报告全文,2026-04-24,https://data.eastmoney.com/notices/detail/300638/AN202604231821507256.html
广和通,300638,300638,广和通,广和通:关于召开2025年度股东会的通知,召开股东大会通知,2026-04-24,https://data.eastmoney.com/notices/detail/300638/AN202604231821507225.html
广和通,300638,300638,广和通,广和通:300638广和通投资者关系管理信息20260410,调研活动,2026-04-10,https://data.eastmoney.com/notices/detail/300638/AN202604121821142564.html
广和通,300638,300638,广和通,广和通:关于公司股东减持计划期限届满暨实施完成的公告,股东/实际控制人股份减持,2026-04-09,https://data.eastmoney.com/notices/detail/300638/AN202604101821104529.html
广和通,300638,300638,广和通,广和通:H股公告-董事会召开日期,其他,2026-04-09,https://data.eastmoney.com/notices/detail/300638/AN202604091821098876.html
广和通,300638,300638,广和通,广和通:H股公告-截至2026年3月31日止月份之股份发行人的证券变动月报表,其他,2026-04-08,https://data.eastmoney.com/notices/detail/300638/AN202604081821068414.html
广和通,300638,300638,广和通,广和通:关于归还暂时补充流动资金的闲置募集资金的公告,归还募集资金,2026-04-01,https://data.eastmoney.com/notices/detail/300638/AN202604011820953602.html
广和通,300638,300638,广和通,广和通:2025年度内部控制审计报告,审计报告,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875726.html
广和通,300638,300638,广和通,广和通:非经营性资金占用及其他关联资金往来的专项说明,保荐/核查意见,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875699.html
广和通,300638,300638,广和通,广和通:2025年度募集资金存放与实际使用情况鉴证报告,保荐/核查意见,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875697.html
广和通,300638,300638,广和通,广和通:第四届薪酬与考核委员会第八次会议决议,其他,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875719.html
广和通,300638,300638,广和通,广和通:2025年度独立董事述职报告(吴承刚),独立董事述职报告,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875689.html
广和通,300638,300638,广和通,广和通:广东信达律师事务所关于广和通2023年激励计划回购注销部分限制性股票的法律意见书,法律意见书,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875714.html
广和通,300638,300638,广和通,广和通:关于会计政策变更的公告,其他,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875712.html
广和通,300638,300638,广和通,广和通:关于独立董事独立性自查情况的专项意见,专项说明/独立意见,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875725.html
广和通,300638,300638,广和通,广和通:董事会审计委员会对会计师事务所2025年度履行监督职责情况的报告,其他,2026-03-31,https://data.eastmoney.com/notices/detail/300638/AN202603301820875709.html
