LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,名称,公告标题,公告类型,公告日期,网址
美格智能,002881,002881,美格智能,美格智能:第四届董事会第十八次会议决议公告,董事会决议公告,2026-05-23,https://data.eastmoney.com/notices/detail/002881/AN202605221822686837.html
美格智能,002881,002881,美格智能,美格智能:关于续聘2026年度会计师事务所的公告,审计机构变更,2026-05-23,https://data.eastmoney.com/notices/detail/002881/AN202605221822686839.html
美格智能,002881,002881,美格智能,美格智能:关于统一采用中国企业会计准则编制财务报告的公告,其他,2026-05-23,https://data.eastmoney.com/notices/detail/002881/AN202605221822686840.html
美格智能,002881,002881,美格智能,美格智能:关于召开2025年年度股东会的通知,召开股东大会通知,2026-05-23,https://data.eastmoney.com/notices/detail/002881/AN202605221822686838.html
美格智能,002881,002881,美格智能,美格智能:2026年5月14日投资者关系活动记录表,调研活动,2026-05-14,https://data.eastmoney.com/notices/detail/002881/AN202605141822319528.html
美格智能,002881,002881,美格智能,美格智能:关于举行2025年度及2026年第一季度网上业绩说明会的公告,其他,2026-05-08,https://data.eastmoney.com/notices/detail/002881/AN202605071822027548.html
美格智能,002881,002881,美格智能,美格智能:H股公告—截至2026年4月30日止月份之股份发行人的证券变动月报表,其他,2026-05-07,https://data.eastmoney.com/notices/detail/002881/AN202605061821991754.html
美格智能,002881,002881,美格智能,美格智能:第四届董事会第十七次会议决议公告,董事会决议公告,2026-04-30,https://data.eastmoney.com/notices/detail/002881/AN202604291821762558.html
美格智能,002881,002881,美格智能,美格智能:关于公司全资子公司完成工商变更登记的公告,公司关联方基本资料变更,2026-04-30,https://data.eastmoney.com/notices/detail/002881/AN202604291821762564.html
美格智能,002881,002881,美格智能,美格智能:2026年一季度报告,一季度报告全文,2026-04-30,https://data.eastmoney.com/notices/detail/002881/AN202604291821762568.html
美格智能,002881,002881,美格智能,美格智能:2025年度可持续发展暨环境、社会及管治报告,ESG公告,2026-04-30,https://data.eastmoney.com/notices/detail/002881/AN202604291821762567.html
美格智能,002881,002881,美格智能,美格智能:关于公司控股股东部分A股股份质押及解除质押的公告,股份质押、冻结,2026-04-25,https://data.eastmoney.com/notices/detail/002881/AN202604241821544799.html
美格智能,002881,002881,美格智能,美格智能:H股公告—董事会会议召开日期,其他,2026-04-18,https://data.eastmoney.com/notices/detail/002881/AN202604171821295261.html
