LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,名称,公告标题,公告类型,公告日期,网址
千方科技,002373,002373,千方科技,千方科技:关于股东股份质押及解除质押的公告,股份质押、冻结,2026-05-23,https://data.eastmoney.com/notices/detail/002373/AN202605221822684743.html
千方科技,002373,002373,千方科技,千方科技:关于股东股份质押的公告,股份质押、冻结,2026-05-15,https://data.eastmoney.com/notices/detail/002373/AN202605141822320139.html
千方科技,002373,002373,千方科技,千方科技:2025年年度权益分派实施公告,分配方案实施,2026-05-13,https://data.eastmoney.com/notices/detail/002373/AN202605121822222603.html
千方科技,002373,002373,千方科技,千方科技:2025年度股东会决议公告,分配方案决议公告,2026-05-09,https://data.eastmoney.com/notices/detail/002373/AN202605081822076211.html
千方科技,002373,002373,千方科技,千方科技:北京市天元律师事务所关于北京千方科技股份有限公司2025年度股东会的法律意见,法律意见书,2026-05-09,https://data.eastmoney.com/notices/detail/002373/AN202605081822076218.html
千方科技,002373,002373,千方科技,千方科技:002373千方科技投资者关系管理信息20260428,调研活动,2026-04-28,https://data.eastmoney.com/notices/detail/002373/AN202604281821668702.html
千方科技,002373,002373,千方科技,千方科技:2026年一季度报告,一季度报告全文,2026-04-28,https://data.eastmoney.com/notices/detail/002373/AN202604271821609103.html
千方科技,002373,002373,千方科技,千方科技:北京千方科技股份有限公司2025年度环境、社会及治理(ESG)报告(英文版),ESG公告,2026-04-28,https://data.eastmoney.com/notices/detail/002373/AN202604271821609127.html
千方科技,002373,002373,千方科技,千方科技:第六届董事会第十六次会议决议公告,董事会决议公告,2026-04-28,https://data.eastmoney.com/notices/detail/002373/AN202604271821608991.html
千方科技,002373,002373,千方科技,千方科技:千方科技2025年度业绩说明会,调研活动,2026-04-21,https://data.eastmoney.com/notices/detail/002373/AN202604211821383530.html
千方科技,002373,002373,千方科技,千方科技:国泰海通证券股份有限公司关于北京千方科技股份有限公司使用部分闲置募集资金进行现金管理的核查意见,保荐/核查意见,2026-04-18,https://data.eastmoney.com/notices/detail/002373/AN202604171821307067.html
千方科技,002373,002373,千方科技,千方科技:关于使用部分闲置募集资金进行现金管理的公告,投资理财,2026-04-18,https://data.eastmoney.com/notices/detail/002373/AN202604171821307026.html
千方科技,002373,002373,千方科技,千方科技:关于使用自有资金进行投资理财的公告,投资理财,2026-04-18,https://data.eastmoney.com/notices/detail/002373/AN202604171821307007.html
千方科技,002373,002373,千方科技,千方科技:北京千方科技股份有限公司2025年年度财务报告,年度财务报告,2026-04-18,https://data.eastmoney.com/notices/detail/002373/AN202604171821305443.html
千方科技,002373,002373,千方科技,千方科技:北京千方科技股份有限公司2025年度内部控制自我评价报告,内部控制报告,2026-04-18,https://data.eastmoney.com/notices/detail/002373/AN202604171821305441.html
