LOCAL_COMPANY_NAME,LOCAL_SYMBOL,代码,名称,公告标题,公告类型,公告日期,网址
高新兴,300098,300098,高新兴,高新兴:2025年年度股东会决议公告,分配方案决议公告,2026-05-13,https://data.eastmoney.com/notices/detail/300098/AN202605121822219293.html
高新兴,300098,300098,高新兴,高新兴:广东广信君达律师事务所关于高新兴2025年年度股东会的法律意见书,法律意见书,2026-05-13,https://data.eastmoney.com/notices/detail/300098/AN202605121822219296.html
高新兴,300098,300098,高新兴,高新兴:2026年5月7日投资者关系活动记录表,调研活动,2026-05-07,https://data.eastmoney.com/notices/detail/300098/AN202605081822062108.html
高新兴,300098,300098,高新兴,高新兴:关于召开2025年年度股东会的提示性公告,召开股东大会提示性公告,2026-05-07,https://data.eastmoney.com/notices/detail/300098/AN202605061821988731.html
高新兴,300098,300098,高新兴,高新兴:关于2026年第一季度计提或冲回资产减值准备的公告,其他,2026-04-29,https://data.eastmoney.com/notices/detail/300098/AN202604281821665623.html
高新兴,300098,300098,高新兴,高新兴:第七届董事会第四次会议决议的公告,董事会决议公告,2026-04-29,https://data.eastmoney.com/notices/detail/300098/AN202604281821665621.html
高新兴,300098,300098,高新兴,高新兴:2026年一季度报告,一季度报告全文,2026-04-29,https://data.eastmoney.com/notices/detail/300098/AN202604281821665627.html
高新兴,300098,300098,高新兴,高新兴:2025年度营业收入扣除情况的专项审核报告(司农专字[2026]25008100050号),专项说明/独立意见,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301515.html
高新兴,300098,300098,高新兴,高新兴:关于图灵新智算(广州)科技集团有限公司业绩承诺完成情况说明的专项审核报告(致同专字〔2026〕第110B007543号),保荐/核查意见,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301501.html
高新兴,300098,300098,高新兴,高新兴:独立董事胡志勇先生2025年度述职报告,独立董事述职报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301502.html
高新兴,300098,300098,高新兴,高新兴:关于预计公司申请综合授信额度及提供担保额度的公告,提供/对外担保公告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301529.html
高新兴,300098,300098,高新兴,高新兴:董事会对独立董事独立性自查情况的专项报告,自查报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301526.html
高新兴,300098,300098,高新兴,高新兴:高新兴董事、高级管理人员薪酬管理制度(2026年4月),管理办法/制度,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301514.html
高新兴,300098,300098,高新兴,高新兴:关于广州图灵业绩承诺实现情况说明的公告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301510.html
高新兴,300098,300098,高新兴,高新兴:关于召开2025年年度股东会通知的公告,召开股东大会通知,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301512.html
高新兴,300098,300098,高新兴,高新兴:高新兴2025年度非经营性资金占用及其他关联资金往来情况汇总表,资金占用,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301500.html
高新兴,300098,300098,高新兴,高新兴:董事会关于2025年度不进行利润分配的专项说明,分配预案,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301524.html
高新兴,300098,300098,高新兴,高新兴:高新兴2025年度内部控制自我评价报告,内部控制报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301499.html
高新兴,300098,300098,高新兴,高新兴:关于计提2025年年度资产减值准备的公告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301519.html
高新兴,300098,300098,高新兴,高新兴:2025年年度审计报告,审计报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301518.html
高新兴,300098,300098,高新兴,高新兴:关于为全资子公司高新兴物联申请银行授信提供担保的公告,提供/对外担保公告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301507.html
高新兴,300098,300098,高新兴,高新兴:关于2026年度董事、高级管理人员薪酬方案的公告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301521.html
高新兴,300098,300098,高新兴,高新兴:2025年年度报告摘要,年度报告摘要,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301527.html
高新兴,300098,300098,高新兴,高新兴:关于非经营性资金占用及其他关联方资金往来情况的专项审核说明(司农专字[2026]25008100040号),专项说明/独立意见,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301511.html
高新兴,300098,300098,高新兴,高新兴:独立董事江斌先生2025年度述职报告,独立董事述职报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301517.html
高新兴,300098,300098,高新兴,高新兴:独立董事罗翼先生2025年度述职报告,独立董事述职报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301525.html
高新兴,300098,300098,高新兴,高新兴:2025年度内部控制审计报告(司农审字[2026]25008100028号),审计报告,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301513.html
高新兴,300098,300098,高新兴,高新兴:2025年年度报告,年度报告全文,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301506.html
高新兴,300098,300098,高新兴,高新兴:第七届董事会第三次会议决议的公告,分配预案,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301406.html
高新兴,300098,300098,高新兴,高新兴:关于举行2025年度业绩说明会的公告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301407.html
高新兴,300098,300098,高新兴,高新兴:关于会计估计变更的公告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301400.html
高新兴,300098,300098,高新兴,高新兴:对会计师事务所2025年度履职情况评估及履行监督职责情况的报告,其他,2026-04-18,https://data.eastmoney.com/notices/detail/300098/AN202604171821301408.html
高新兴,300098,300098,高新兴,高新兴:第七届董事会第一次独立董事专门会议决议,高管人员任职变动,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704507.html
高新兴,300098,300098,高新兴,高新兴:第七届董事会第二次会议决议的公告,董事会决议公告,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704490.html
高新兴,300098,300098,高新兴,高新兴:高新兴科技集团股份有限公司外汇套期保值业务可行性分析报告,其他,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704479.html
高新兴,300098,300098,高新兴,高新兴:关于公司开展外汇套期保值业务的公告,其他,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704503.html
高新兴,300098,300098,高新兴,高新兴:关于为全资子公司高新兴电子申请银行授信提供担保的公告,提供/对外担保公告,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704509.html
高新兴,300098,300098,高新兴,高新兴:关于公司与关联方共同投资暨放弃优先认购权的公告,对外项目投资,2026-03-24,https://data.eastmoney.com/notices/detail/300098/AN202603231820704475.html
